"","","","","",""
"1",NA,NA,NA,NA,NA
"2","Novak Djokovic","0.682008368200837","0.644859813084112","0.647540983606557","0.644970414201183"
"3","Evgeny Donskoy","0.63481228668942","0.430555555555556","0.624203821656051","0.641666666666667"
"4","Vasek Pospisil","0.6","0.430379746835443","0.628865979381443","0.690721649484536"
"5","Marcos Baghdatis","0.682692307692308","0.581081081081081","0.595070422535211","0.644230769230769"
"6","Benoit Paire","0.643410852713178","0.52014652014652","0.58252427184466","0.585889570552147"
"7","Philipp Kohlschreiber","0.541666666666667","0.58974358974359","0.523076923076923","0.763440860215054"
"8","Kei Nishikori","0.671739130434783","0.594533029612756","0.643916913946588","0.617563739376771"
"9","Ricardas Berankis","0.516949152542373","0.565789473684211","0.511111111111111","0.541176470588235"
"10","Grigor Dimitrov","0.641242937853107","0.577639751552795","0.584302325581395","0.659638554216867"
"11","Dominic Thiem","0.670886075949367","0.620639534883721","0.594594594594595","0.724137931034483"
"12","Nicolas Almagro","0.623931623931624","0.648760330578512","0.596059113300493","0.619047619047619"
"13","David Goffin","0.561247216035635","0.639468690702087","0.550387596899225","0.696236559139785"
"14","Marin Cilic","0.700934579439252","0.627272727272727","0.692307692307692","0.732484076433121"
"15","Borna Coric","0.545454545454545","0.617224880382775","0.608695652173913","0.759615384615385"
"16","Sam Querrey","0.653543307086614","0.60377358490566","0.571428571428571","0.692675159235669"
"17","Nick Kyrgios","0.704379562043796","0.695488721804511","0.688976377952756","0.673684210526316"
"18","Pablo Carreno Busta","0.48936170212766","0.593103448275862","0.549618320610687","0.57843137254902"
"19","Pablo Cuevas","0.650793650793651","0.677130044843049","0.598425196850394","0.65"
"20","Fernando Verdasco","0.57741935483871","0.611764705882353","0.627450980392157","0.625"
"21","Benjamin Becker","0.480769230769231","0.493506493506494","0.5","0.638709677419355"
"22","Andrey Kuznetsov","0.664488017429194","0.646666666666667","0.480519480519481","0.684887459807074"
"23","Nicolas Mahut","0.686746987951807","0.548780487804878","0.637860082304527","0.683116883116883"
"24","Kevin Anderson","0.607407407407407","0.619834710743802","0.640677966101695","0.691358024691358"
"25","Milos Raonic","0.708638360175695","0.652777777777778","0.627615062761506","0.73697270471464"
"26","Lucas Pouille","0.6","0.549407114624506","0.61070110701107","0.658901830282862"
"27","Viktor Troicki","0.628985507246377","0.576441102756892","0.523809523809524","0.681159420289855"
"28","Jack Sock","0.677130044843049","0.620098039215686","0.641509433962264","0.690095846645367"
"29","Lukas Rosol","0.653658536585366","0.567251461988304","0.493975903614458","0.618181818181818"
"30","Stan Wawrinka","0.645011600928074","0.678461538461538","0.652221018418202","0.692640692640693"
"31","David Ferrer","0.676923076923077","0.609042553191489","0.577586206896552","0.593103448275862"
"32","Jordan Thompson","0.547945205479452","0.71078431372549","0.593582887700535","0.591549295774648"
"33","Aljaz Bedene","0.659340659340659","0.607558139534884","0.57","0.495049504950495"
"34","Steve Johnson","0.670498084291188","0.577586206896552","0.59349593495935","0.616702355460385"
"35","Feliciano Lopez","0.647196261682243","0.619047619047619","0.60431654676259","0.646575342465753"
"36","Marcel Granollers","0.696808510638298","0.585798816568047","0.515151515151515","0.608510638297872"
"37","John Isner","0.763681592039801","0.684210526315789","0.716931216931217","0.755656108597285"
"38","Bernard Tomic","0.639240506329114","0.648760330578512","0.515527950310559","0.629194630872483"
"39","John Millman","0.574742268041237","0.653179190751445","0.602836879432624","0.632876712328767"
"40","Donald Young","0.546296296296296","0.505050505050505","0.626086956521739","0.598130841121495"
"41","Alexander Zverev","0.472527472527473","0.6","0.701923076923077","0.605042016806723"
"42","Andy Murray","0.660300136425648","0.653465346534653","0.642710472279261","0.700301204819277"
"43","Roberto Bautista Agut","0.639386189258312","0.576802507836991","0.640926640926641","0.635838150289017"
"44","Jeremy Chardy","0.666666666666667","0.666666666666667","0.588652482269504","0.656521739130435"
